Location,Updated,WaitTimeInSeconds
NS-S,2023-07-12T08:29:00,520
S-NS,2023-07-12T08:29:00,60
VF0,2023-07-12T08:29:00,60
VF1,2023-07-12T08:29:00,307
VF2,2023-07-12T08:29:00,98
VF3,2023-07-12T08:29:00,419
VF4,2023-07-12T08:29:00,60
VH3,2023-07-12T08:29:00,60
AF2,2023-07-12T08:39:00,287
AF3,2023-07-12T08:39:00,1295
EF-T,2023-07-12T08:39:00,60
GH-T,2023-07-12T08:26:00,869
NS-S,2023-07-12T08:39:00,728
S-NS,2023-07-12T08:39:00,60
VF0,2023-07-12T08:39:00,60
VF1,2023-07-12T08:39:00,287
VF2,2023-07-12T08:39:00,126
VF3,2023-07-12T08:39:00,543
VF4,2023-07-12T08:39:00,171
VH3,2023-07-12T08:39:00,120
AF2,2023-07-12T08:45:00,670
AF3,2023-07-12T08:45:00,401
EF-T,2023-07-12T08:45:00,60
GH-T,2023-07-12T08:26:00,869
NS-S,2023-07-12T08:45:00,883
S-NS,2023-07-12T08:45:00,60
VF0,2023-07-12T08:45:00,60
VF1,2023-07-12T08:45:00,326
VF2,2023-07-12T08:45:00,60
VF3,2023-07-12T08:45:00,567
VF4,2023-07-12T08:45:00,175
VH3,2023-07-12T08:45:00,91
AF2,2023-07-12T09:03:00,922
AF3,2023-07-12T09:03:00,814
EF-T,2023-07-12T09:03:00,60
GH-T,2023-07-12T09:02:00,75
NS-S,2023-07-12T09:03:00,786
S-NS,2023-07-12T09:03:00,586
VF0,2023-07-12T09:03:00,229
VF1,2023-07-12T09:03:00,369
VF2,2023-07-12T09:03:00,480
VF3,2023-07-12T09:03:00,908
VF4,2023-07-12T09:03:00,178
VH3,2023-07-12T09:02:00,60
AF2,2023-07-12T09:21:00,143
AF3,2023-07-12T09:21:00,716
EF-T,2023-07-12T09:21:00,60
GH-T,2023-07-12T09:21:00,75
NS-S,2023-07-12T09:21:00,816
S-NS,2023-07-12T09:21:00,8149
VF0,2023-07-12T09:21:00,88
VF1,2023-07-12T09:21:00,293
VF2,2023-07-12T09:21:00,6237
VF3,2023-07-12T09:21:00,1236
VF4,2023-07-12T09:21:00,398
VH3,2023-07-12T09:21:00,91
AF2,2023-07-12T09:30:00,70
